Concept,Category,Key Rule,Analogy/Example,Application
Higher Timeframe Authority,Timeframe Analysis,4H always beats 1H; higher TF overpowers lower TF,N/A,When TFs contradict — follow the bigger picture
Miss One to Catch the Rest,Psychology,OK to skip a trade for confirmation; market gives another chance,N/A,Don't FOMO into the first higher high
Body Closes vs Wicks,Structure,Mark body closes (closed deals); wicks are rejected visits,Closed deal vs. visiting and rejecting,Build key levels on confirmed closes only
Golden Swing Rules,Structure,Buy only above swing high; sell only below swing low,N/A,No anticipation — wait for the actual break
Previous Push Rule,Structure,Find origin of bullish push; break below origin = momentum dead,N/A,Mark the launch point of every swing high
Open Highway Momentum,Momentum,No sellers above = free will for buyers to push at max speed,Empty highway — punch the gas,Trade in the direction of the open highway
Lamborghini Effect,Momentum,Strong buyers force sellers to move out of the way,Lamborghini on highway — slow drivers move aside,Don't fight strong trending moves
Forex is Stable,Asset Selection,Forex pairs move off news and economics — not investment flow,EUR/USD vs NASDAQ,Avoid Forex for day trading volatility
Trade Investments,Asset Selection,NASDAQ / Gold / Crypto / S&P 500 have daily investment liquidity,People invest in NASDAQ every day,Focus on assets with constant investment flow
New York Session,Timing,9:30 AM EST — NYSE opens — maximum institutional volume,Banks flood the market at open,Trade USD assets at NY session open only
All-Time High Trap,Psychology,ATHs carry risk of sudden investor liquidation,Clothing drop analogy — hype dies when everyone has it,Watch for break below previous low as sell signal
Clothing Drop Analogy,Psychology,Limited drop = hype = price up; market floods = value tanks,Chrome Hearts jeans limited drop then everywhere,Maps directly to all-time high price behavior
Asset Correlation,Correlation,BTC leads crypto; S&P leads NASDAQ leads Dow Jones,BTC = S&P 500 of crypto,Check the leader before trading the follower
New Incentive Required,Psychology,Markets always chase a new high or low; without one price stalls,Chasing dreams — always need a new goal,No new incentive = sit on hands
Contradicting Correlation,Correlation,If S&P drops but NASDAQ tries to rise — take with grain of salt,Mixed signals = market undecided,Sit out until market makes a clear decision
